🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771356236280, 'cpu_temp': 44.6, 'cpu_usage': 4.3, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356243065, 'cpu_temp': 41.4, 'cpu_usage': 4.0, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356249538, 'cpu_temp': 41.9, 'cpu_usage': 6.7, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356255853, 'cpu_temp': 42.5, 'cpu_usage': 3.5, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356262240, 'cpu_temp': 41.9, 'cpu_usage': 3.5, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356268561, 'cpu_temp': 41.4, 'cpu_usage': 4.5, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356274963, 'cpu_temp': 42.5, 'cpu_usage': 3.5, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356281296, 'cpu_temp': 42.5, 'cpu_usage': 4.3, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356287707, 'cpu_temp': 41.4, 'cpu_usage': 4.7, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356294050, 'cpu_temp': 43.0, 'cpu_usage': 4.0, 'memory_usage': 67.4, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356300367, 'cpu_temp': 41.9, 'cpu_usage': 4.5, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356306688, 'cpu_temp': 42.5, 'cpu_usage': 4.2, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356313011, 'cpu_temp': 40.8, 'cpu_usage': 4.5, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356319339, 'cpu_temp': 43.0, 'cpu_usage': 5.0, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356325657, 'cpu_temp': 41.4, 'cpu_usage': 4.0, 'memory_usage': 67.3, 'disk_usage': 21.3}
✅ Data pushed: {'timestamp': 1771356331981, 'cpu_temp': 41.4, 'cpu_usage': 5.3, 'memory_usage': 67.3, 'disk_usage': 21.3}
